---------------------
========== [FLAGGED] =============
F0-25-72-7D-88-74 = -47
F0-25-72-7D-88-76 = -39
F0-25-72-7D-88-F4 = -71
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -47
F0-25-72-7D-8A-C4 = -45
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-AB-C2 = -67
F0-25-72-7D-AB-C4 = -67
F0-25-72-7D-EB-80 = -69
F0-25-72-7D-EB-86 = -73
F0-25-72-7D-FC-50 = -53
F0-25-72-7D-FC-56 = -55
---------------------
00-22-75-43-1F-68 = -73
00-25-9C-52-91-1D = -67
02-11-87-A5-5A-72 = -49
56-5A-04-2F-2C-A1 = -71
6C-B0-CE-ED-2B-BB = -25
B4-18-D1-E0-33-DE = -63
F0-25-72-70-B6-70 = -69
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -73
F0-25-72-70-C2-A2 = -71
